Word,Type,IPA,Definition,Example,Group
accordingly,(adverb),/əˈkɔːdɪŋli/ /əˈkɔːrdɪŋli/,in a way that is appropriate to what has been done or said in a particular situationfor that reason,"we have to discover his plans and act accordingly.
the cost of materials rose sharply last year. accordingly, we were forced to increase our prices.",Oxford 5000
account,(noun),/əˈkaʊnt/ /əˈkaʊnt/,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.an arrangement that somebody has with a company that allows them to use the internet, send and receive messages by email, social media, etc.a written or spoken description of something that has happenedan explanation or a description of an idea, a theory or a processa written record of money that is owed to a business and of money that has been paid by itan arrangement with a shop or business to pay bills for goods or services at a later time, for example in regular amounts every montha bill for goods or services provided over a perioda regular customera description of an event that gives you all the details in the order in which they happenaccording to what other people sayaccording to what you say yourselfto make somebody explain a mistake, etc. because they are responsible for itto do something or perform well, especially in a contestnot importantif you buy something or pay on account, you pay nothing or only a small amount immediately and the rest laterbecause of what you think somebody wantsbecause of somebody/somethingnot for any reasonfor yourselfbecause you want to and you have decided, not somebody elsebecause of the particular thing that has been mentionedto use something in a good or helpful wayto hurt or punish somebody who has harmed or cheated you in the pastto consider particular facts, circumstances, etc. when making a decision about something","i don't have a bank account.
i paid the money into my savings account.
a joint account (= one in the name of more than one person)
with internet banking you can manage your account online.",Oxford 5000
account,(noun),/əˈkaʊnt/ /əˈkaʊnt/,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.an arrangement that somebody has with a company that allows them to use the internet, send and receive messages by email, social media, etc.a written or spoken description of something that has happenedan explanation or a description of an idea, a theory or a processa written record of money that is owed to a business and of money that has been paid by itan arrangement with a shop or business to pay bills for goods or services at a later time, for example in regular amounts every montha bill for goods or services provided over a perioda regular customera description of an event that gives you all the details in the order in which they happenaccording to what other people sayaccording to what you say yourselfto make somebody explain a mistake, etc. because they are responsible for itto do something or perform well, especially in a contestnot importantif you buy something or pay on account, you pay nothing or only a small amount immediately and the rest laterbecause of what you think somebody wantsbecause of somebody/somethingnot for any reasonfor yourselfbecause you want to and you have decided, not somebody elsebecause of the particular thing that has been mentionedto use something in a good or helpful wayto hurt or punish somebody who has harmed or cheated you in the pastto consider particular facts, circumstances, etc. when making a decision about something","i don't have a bank account.
i paid the money into my savings account.
a joint account (= one in the name of more than one person)
with internet banking you can manage your account online.",Oxford 5000
accountability,(noun),/əˌkaʊntəˈbɪləti/ /əˌkaʊntəˈbɪləti/,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,"proposals for greater police accountability
the accountability of a company’s directors to the shareholders",Oxford 5000
accountable,(adjective),/əˈkaʊntəbl/ /əˈkaʊntəbl/,responsible for your decisions or actions and expected to explain them when you are asked,"the state spends taxpayers’ money and should be held accountable.
politicians are ultimately accountable to the voters.
someone must be held accountable for the killings.",Oxford 5000
accountant,(noun),/əˈkaʊntənt/ /əˈkaʊntənt/,a person whose job is to keep or check financial accounts,"we talked to the company’s chief accountant.
the investigating accountant’s report",Oxford 5000
accounting,(noun),/əˈkaʊntɪŋ/ /əˈkaʊntɪŋ/,the process or work of keeping financial accounts,"a career in accounting
accounting methods",Oxford 5000
accumulate,(verb),/əˈkjuːmjəleɪt/ /əˈkjuːmjəleɪt/,to gradually get more and more of something over a period of timeto gradually increase in number or quantity over a period of time,"i seem to have accumulated a lot of books.
by investing wisely she accumulated a fortune.
we have accumulated a great amount of evidence.
debts began to accumulate.",Oxford 5000
accumulation,(noun),/əˌkjuːmjəˈleɪʃn/ /əˌkjuːmjəˈleɪʃn/,the process of gradually increasing or getting more and more of something over a period of timean amount of something that has gradually increased over a period of time,"the accumulation of wealth
an accumulation of toxic chemicals",Oxford 5000
accuracy,(noun),/ˈækjərəsi/ /ˈækjərəsi/,"the state of being exact or correct; the ability to do something with skill and without making mistakesthe degree to which a measurement, calculation, etc. is exact or correct","they questioned the accuracy of the information in the file.
candidates are judged on technical accuracy as well as artistic expression.
she hits the ball with great accuracy.
the accuracy of radiocarbon dating",Oxford 5000
